country,1-2000,2-2000,3-2000,4-2000,5-2000,6-2000,7-2000,8-2000,9-2000,10-2000,11-2000,12-2000,1-2001,2-2001,3-2001,4-2001,5-2001,6-2001,7-2001,8-2001,9-2001,10-2001,11-2001,12-2001,1-2002,2-2002,3-2002,4-2002,5-2002,6-2002,7-2002,8-2002,9-2002,10-2002,11-2002,12-2002,1-2003,2-2003,3-2003,4-2003,5-2003,6-2003,7-2003,8-2003,9-2003,10-2003,11-2003,12-2003,1-2004,2-2004,3-2004,4-2004,5-2004,6-2004,7-2004,8-2004,9-2004,10-2004,11-2004,12-2004,1-2005,2-2005,3-2005,4-2005,5-2005,6-2005,7-2005,8-2005,9-2005,10-2005,11-2005,12-2005,1-2006,2-2006,3-2006,4-2006,5-2006,6-2006,7-2006,8-2006,9-2006,10-2006,11-2006,12-2006,1-2007,2-2007,3-2007,4-2007,5-2007,6-2007,7-2007,8-2007,9-2007,10-2007,11-2007,12-2007,1-2008,2-2008,3-2008,4-2008,5-2008,6-2008,7-2008,8-2008,9-2008,10-2008,11-2008,12-2008,1-2009,2-2009,3-2009,4-2009,5-2009,6-2009,7-2009,8-2009,9-2009,10-2009,11-2009,12-2009
Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987,0.0,0.0,0.0,0.0,0.1,0.0666666666667,0.0,0.0,0.0267857142857,0.0,0.0,0.0,0.0,0.0,0.0260869565217,0.0196078431373,0.0,0.0,0.0,0.00249376558603,0.0,0.0,0.0,0.00540540540541,0.0053050397878,0.000932835820896,0.0,0.000496031746032,0.000525210084034,0.00124861265261,0.00048,0.000314795383001,0.00119961612284,0.000358905338717,0.000559245019224,0.00180555010402,0.00120276636263,0.000186034974575,0.000607817467739,0.000428790199081,0.000634651999154,0.000551959456069,0.000497990253619,0.000408232692635,0.000424673532222,0.000478769068216,0.000185701021356,0.000236842105263,0.000202183582693,0.000302990953556,0.000360725173963,0.000441541716493,0.000403871395808,0.000265205091938,0.000263397609667,0.00013382700629,0.000264014784828,0.000131011648127,9.46017856087e-05,0.000137292590123,0.000374850911569,0.000154482758621,0.000194801580676,0.000131562968061,0.000264936885197,0.000332799467521,0.00024150775147,0.00028981688842,0.000181930138827,0.000246769152028,0.000276761278022,0.000375290850409,0.000284585798306,0.000240117390724,0.000319382243767,0.000371307000642,0.000440845704004,0.0039810201258,0.00122404216931,0.00039604169527,0.000538992449538,0.000458906967042,0.000368147258904,6.14824467614e-05,2.27210081431e-05,0
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987,0.0,0.0,0.0,0.0,0.576923076923,0.222222222222,0.063829787234,0.0217391304348,0.0540540540541,0.0348837209302,0.0454545454545,0.0,0.00625,0.0111111111111,0.0215827338129,0.00892857142857,0.0102040816327,0.0,0.000803212851406,0.000637890708059,0.00689655172414,0.00879765395894,0.00484261501211,0.00348432055749,0.00380589914367,0.00271186440678,0.00375234521576,0.00151400454201,0.00325203252033,0.00269648663653,0.00258799171843,0.0020390070922,0.00164138927188,0.00148391127773,0.00199203187251,0.00289552683685,0.00187265917603,0.00080199607913,0.00175167745383,0.00162217097291,0.00100215849522,0.00101035615054,0.00100534759358,0.000854513584575,0.00153069901922,0.00124806264785,0.000491812237017,0.000419191341793,0.00114599249896,0.00071788481335,0.00077201000525,0.000787337441968,0.00128862087364,0.000647076344738,0.000827669409198,0.000636145583481,0.00104456312251,0.000416681442604,0.000286768855052,0.000483216964417,0.000690202574456,0.000321211226766,0.000618272561362,0.000442020282893,0.000955070462213,0.00123014213623,0.000685059983526,0.000662852991919,0.000795765145487,0.000394903329277,0.000725352521325,0.00139255667634,0.000746481358325,0.000762414408194,0.000981354268891,0.00102176954866,0.000681572473873,0.0159279052709,0.00784551563523,0.00119980997229,0.0035106601788,0.00335930755097,0.00084106571165,4.83722491368e-05,7.47776167092e-05,0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00485436893204,0.0,0.0888888888889,0.0604026845638,0.0247933884298,0.019801980198,0.00915750915751,0.0114678899083,0.0,0.00497512437811,0.0,0.00511508951407,0.00234558248632,0.00506329113924,0.00292397660819,0.010067114094,0.00132100396301,0.00149775336995,0.000743494423792,0.0016713091922,0.00111856823266,0.00129477772982,0.00225080385852,0.00101132686084,0.000916870415648,0.000447127207691,0.00135135135135,0.000754801375416,0.000581226387678,0.000494388688387,0.000609822498094,0.000388409850074,0.00067409292371,0.00136952831644,0.000929464009088,0.000372178884059,0.000626372732449,0.000631284146733,0.000726817042607,0.000333726388858,0.00045417450236,0.000434404865334,0.000410466906106,0.000371657296577,0.000193141810235,0.000172457403021,0.000268603727753,0.000281802945582,0.000692860287349,0.000497942842197,0.000459128457583,0.000334168098348,0.000442426138536,0.000253382905425,0.000261163374013,0.000292659565977,0.000293807406837,0.000334566486437,0.000450073626175,0.000250346141859,0.000484749049146,0.000312378352661,0.000436429784316,0.00179363809594,0.000411807097789,0.000300276254154,0.000573030171672,0.000508039114173,0.000430497466907,0.000368773098606,0.000216307527502,8.85148812291e-05,4.74111394949e-05,0.000298334547389,0.000267163392678,0.00111313573889,0.000652689150023,0.000287060174401,0.000312459867942,0.000306310421756,0.000316013975594,0.000199436085394,0.000105931708563,0
Vietnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952381,0.027027027027,0.0,0.0,0.0,0.0,0.0,0.0144927536232,0.0,0.0,0.0,0.0,0.166666666667,0.05,0.041095890411,0.047619047619,0.00934579439252,0.00735294117647,0.0185185185185,0.0,0.010989010989,0.0224719101124,0.0298507462687,0.00952380952381,0.0,0.0,0.0,0.0025974025974,0.00471698113208,0.0,0.0,0.00680272108844,0.00686498855835,0.00132978723404,0.00503778337531,0.00271739130435,0.00156862745098,0.00138331719463,0.00241604252235,0.000375281461096,0.00410132689988,0.00107874865156,0.00220080443196,0.00373552484124,0.00344234079174,0.000680688857123,0.00185709232402,0.00181696471263,0.00173826669978,0.000793650793651,0.0011359579371,0.00148137940538,0.00103160138922,0.00108642965786,0.000453257790368,0.000361150522378,0.00063495164599,0.000635006157635,0.000915471467806,0.000604386116387,0.000582799100824,0.000451553755422,0.000626578495826,0.000314220356452,0.000590464943525,0.000370988684845,0.000174830000828,0.000176532421784,0.000790250197563,0.000222292203101,0.000449823819004,0.000293432448294,0.000507918917671,0.000513417981477,0.000501329418189,0.000383582662064,0.000448662640207,0.000362684904536,0.000387504051179,0.000580820508728,0.000428928869296,0.000391584202841,0.000449279769969,0.000477665586796,0.000477183556608,0.00311771770339,0.00143505868014,0.000441788435594,0.000833774203788,0.00126917508202,0.000541599630438,0.000120113642213,0.000230256613171,0
Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217391304348,0.25,0.260869565217,0.260869565217,0.0344827586207,0.0222222222222,0.0,0.0,0.0,0.0545454545455,0.0471698113208,0.0357142857143,0.0125,0.0666666666667,0.0245901639344,0.00520833333333,0.0105263157895,0.0167597765363,0.00331125827815,0.0127388535032,0.00290697674419,0.00261506276151,0.0148148148148,0.00148148148148,0.00429975429975,0.000944414463033,0.00244281590051,0.00174262734584,0.00187771388335,0.00143741707209,0.00166305133767,0.00400285474912,0.00216216216216,0.000860585197935,0.00109380469023,0.00166650944879,0.00170920692799,0.00112262080931,0.00155301425949,0.000746666666667,0.00112623803372,0.000972121531668,0.000582258581036,0.00043662164006,0.000625912789485,0.000800170703083,0.00108978028268,0.000388530577356,0.000875930676344,0.000583018810028,0.00112238640177,0.000417617492207,0.000924057097002,0.000501696526412,0.000275030940981,0.000838799870954,0.001835018085,0.000389238694906,0.000483643187402,0.000476493011436,0.000923076923077,0.00114874833082,0.000921572315215,0.00099577846033,0.000798212005109,0.000642632803237,0.0007981232012,0.00216437416471,0.000776851496066,0.000738463652132,0.000844645550528,0.000770946336628,0.000478791317917,0.013636748877,0.00888975724124,0.000615995159259,0.0010258370126,0.0109016481741,0.000923695819197,5.89735773455e-05,8.62531035715e-05,0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338983050847,0.00746268656716,0.0,0.0,0.0,0.0,0.0,0.00485436893204,0.0,0.0309278350515,0.0,0.0,0.189655172414,0.0947368421053,0.0614525139665,0.0680272108844,0.0268817204301,0.0194647201946,0.00584795321637,0.00636942675159,0.0103626943005,0.0202898550725,0.0145299145299,0.00911854103343,0.00267857142857,0.00817438692098,0.00234329232572,0.00439276485788,0.00277906438166,0.00192975685064,0.0016620498615,0.00167280026765,0.00267111853088,0.00246402523162,0.00179010964422,0.000714924039321,0.0026592376852,0.00209866448624,0.00178761232969,0.00123508698166,0.00359379597327,0.00111482720178,0.00164269346512,0.00231459444021,0.00304544884542,0.000877138023933,0.00125539079577,0.00171418745365,0.00140111671093,0.000955697889194,0.00103628849291,0.00132728126467,0.00137696567944,0.00111436757399,0.00042081174112,0.000306914692102,0.000921453374459,0.000511089869887,0.00208087631444,0.000644939375699,0.000829757203348,0.000678414300396,0.00282713877764,0.0037175945407,0.000873664408771,0.000679898460579,0.000467468300872,0.000843559292992,0.00151950309583,0.00375924872971,0.00550436898413,0.00600674619387,0.00464629355165,0.00229425242895,0.00295747552187,0.000505636808845,0.00131874584992,0.00108551733739,0.00105971975296,0.00142570489511,0.00088736378176,0.000658138220254,0.000513225761214,0.000708279185716,0.000447045274917,0.00129589088221,0.000892989487918,0.000648245937133,0.000474202249473,0.000489118462653,0.000540326610245,0.000220902330572,9.81791940434e-05,0
Hong Kong-China,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0909090909091,0.111111111111,0.166666666667,0.153846153846,0.0625,0.0384615384615,0.4,1.0,0.2,0.222222222222,0.0178571428571,0.0862068965517,0.0,0.0625,0.0,0.1875,0.031746031746,0.2,0.0857142857143,0.12,0.0210526315789,0.0315789473684,0.0576923076923,0.0490196078431,0.00588235294118,0.0384615384615,0.0275229357798,0.00783085356304,0.0194805194805,0.0140186915888,0.0161290322581,0.00686106346484,0.00493624023036,0.00355351170569,0.00495372180941,0.00949251551661,0.00307631239456,0.0042653017701,0.00661773553122,0.00537817995561,0.00272949288895,0.00286938963477,0.0129518654552,0.00475465956638,0.00347561637884,0.00454089756443,0.00315656565657,0.00498561419692,0.0441894209207,0.0464819465602,0.00695088044486,0.00258675812358,0.0137007912237,0.0331831571651,0.0224689771495,0.0261844863732,0.0198323825622,0.040294306454,0.00815705372089,0.0364467992632,0.043921218808,0.0325789377624,0.0134752231257,0.0491341039075,0.0447956218967,0.0786415825149,0.0527518045868,0.0263425907791,0.0635158356061,0.0436448980471,0.034505629203,0.0668170037047,0.0583258814191,0.0257225513156,0.0680826949737,0.0698538643097,0.0638189352885,0.0312813355375,0.0893592743729,0.106774504074,0.0852160700396,0.0665799244708,0.0544187219536,0.0683525334832,0.0867005983371,0.0707073290829,0,0
