country,1-2003,2-2003,3-2003,4-2003,5-2003,6-2003,7-2003,8-2003,9-2003,10-2003,11-2003,12-2003
China,0,0,806,2654,1867,0,0,0,0,0,0,0
Hong Kong-China,0,0,530,1059,150,16,0,0,0,0,0,0
Taiwan,0,0,10,68,593,0,0,0,0,0,0,0
Singapore,0,0,91,110,5,0,0,0,0,0,0,0
Vietnam,0,0,58,5,0,0,0,0,0,0,0,0
Philippines,0,0,0,4,8,2,0,0,0,0,0,0
Canada,0,0,44,104,40,62,0,0,0,0,0,0
