Canada,701791.656652,552592,522811,686729,608205,528933,529142,559831,620157,494866,507836,616966,457074,515751,469131,598432,528746,500544,493430,519634,590340,471866,495230,457564,458977,544653,530671,640560,570882,531640,511986,563912,608537,497630,506196,470511,475301,569511,514234,646649,569370,540289,520135,589243,608243,506228,517306,452544,480197,534602,498278,655170,560205,519597,533045,579395,607732,511760,493440,446500,473470,535892,495140,639839,566473,557272,594133,634184,698525,591319,563516,546089,555521,641159,630291,739986,622594,637409,644058,708386,784169,602919,583896,532048,558779,627037,641765,770256,681974,668392,654267,735421,797072,651129,633826,590337,614538,655514,645840,774621,704446,720636,723756,811940,792852,646340,686899,623446,650500,661776,652791,803563,715351,712494,713768,847293,847841,714148,703246,633028,640616,665197,704783,826024,753168,765040,796245,857222,897702,770451,692767,663691,681549,743329,689400,839326,754268,768599,779093,903643,962755,486382,533946,505690,567864,592110,605342,751212,667367,707236,748450,845324,881722,652054,704817,625069,690298,701582,663801,768667,613789,615641,736364,861010,876123,671463,677903,635788,695711,682154,719385,859306,781426,802981,835570,953981,962168,785850,786457,714504,767479,790357,774804,961222,852864,882253,903288,980748,971885,842037,802491,742496,778997,853360,814836,1015451,905068,925548,898729,977524,1024390,860551,835724,786283,848571,913451,837946,1024497,916416,942684,926439,991424,1039601,866892,861660,815398,854126,915524,977306,1087295,959093,945556,907959,987664,1032362,809015,818811,770803,828277,846660,812461,987714,821565,764417,0,0,0,0,0,0,0,702763.699571,515389,571181,660047,556766,491378,514259,573320,634183,523227,537727,622543,533271,494470,482533,579605,463457,460623,478562,525864,592885,503532,538775,479557,539359,522547,556134,586594,522703,478115,493473,569910,612259,509888,542617,495208,555362,550372,543687,593608,517354,483445,503136,591093,613875,522376,555398,480900,548244,514563,536113,611837,503228,481421,510057,583924,623914,528204,527189,469757,526961,516467,522625,602468,521928,511723,556540,661674,710084,615844,603615,583578,614914,622672,648395,687443,583722,578319,618515,737617,790756,631584,626286,556890,615755,630707,662373,733155,623855,617944,638847,738897,810135,679298,682012,610513,666259,656558,657648,732163,662857,660833,701841,803979,831611,655088,736671,659840,672746,682855,669598,750483,681248,656187,692279,834952,885124,729498,752645,666434,659185,704969,734111,792797,720008,707056,746765,881057,922043,772227,767259,701039,724723,751443,708981,795787,726515,705407,731429,930644,978105,514615,559351,523904,580269,616732,613990,704665,638316,648402,703104,827984,896222,686399,743516,650356,722819,733872,684244,722469,589503,564855,700467,853190,883579,703840,719670,652617,712015,716681,749862,805672,755796,734508,802285,940411,1004338,791148,827447,739254,802191,820574,812971,916451,807921,806480,849140,1003808,1007351,847339,834302,777501,856032,846501,850418,956817,877356,844155,858727,1019051,1050452,871268,879192,832483,931233,889030,868077,970501,889875,860696,874664,1008109,1063580,884207,902577,866493,939799,899120,936766,1036873,914583,874078,907684,993363,1048873,820845,867039,802503,914466,841151,853677,921743,775896,693517,0,0,0,0,0,0,0
Ethiopia,3439.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802,0,0,0,0,0,0,0,0,0,0,0,3777,3777,3828,3193,3089,4623,3662,2630,3157,3303,4407,4467,4521,4482,4039,3064,2982,4112,2122,2122,2994,2703,3706,0,0,0,0,0,0,0,4244.95833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4691,0,0,0,0,0,0,0,0,0,0,0,5906,5906,4444,3905,3590,3926,4604,3981,4097,3156,4237,5071,5027,5684,4519,4200,3509,3604,3475,3475,3511,3199,4162,0,0,0,0,0,0,0
The Gambia,745.535714286,0,0,0,0,0,474,1418,977,666,602,361,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,268,570,202,441,453,588,0,0,511,650,964,620,837,746,544,815,1044,832,644,917,587,667,1043,902,570,843,527,1784,1172,2399,1345,655,672,1050,981,757,637,809,689,809,866,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,706,376,629,447,251,832,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910.303571429,0,0,0,0,0,354,1263,1387,943,674,467,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,399,553,798,915,540,0,0,598,757,983,1076,947,1201,641,900,1076,968,1049,1076,859,823,1183,1060,560,1028,674,2938,1430,2098,2174,896,860,1225,650,1332,864,1229,876,1164,954,976,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,806,605,524,507,221,499,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,33318.5064378,16559,18139,16562,17789,16742,15815,17576,17802,15098,16166,19586,21097,17310,18606,19920,20065,18804,20331,22455,25959,20429,19193,21109,25123,25010,22223,22354,23617,23183,21342,25421,23710,22210,24847,25836,26095,30427,28774,37396,32168,30362,23332,28153,27525,23725,32925,28617,28111,34159,31724,29132,31147,24867,19516,24477,21889,19007,30022,27284,28304,29693,28594,28398,31035,26272,23642,27641,24899,21992,28283,30589,30691,32416,34038,34102,29118,24920,22297,23996,26831,18933,24121,28124,27727,31443,29393,32352,28865,28319,20663,27206,26868,20507,24386,23633,25182,28972,26627,25625,26283,28829,24398,27577,28983,22389,31098,30240,27643,36120,29802,32010,38391,38001,35167,43600,43337,37356,46697,46131,40005,52585,46471,37183,37950,56021,54614,63433,48591,20691,27612,33527,35891,35115,37565,45828,40932,34492,34366,36020,35634,21003,27908,28266,30737,31687,31495,39251,37137,30578,31899,33599,35689,25964,32850,34835,33918,32451,33911,37221,34385,30924,32802,38081,40193,26269,36835,38213,35389,40575,41664,43505,45108,40245,36738,46549,42747,31556,44155,41842,40165,48053,44558,53196,50698,39256,41855,48604,40575,29164,39933,39266,39328,40144,39401,44846,46759,37516,37619,43126,40707,28567,38004,41981,44445,43150,42293,50816,47623,36258,41438,45691,45443,34300,41121,44427,48672,50387,53052,60420,52869,46604,46333,50832,49599,33327,40524,44345,46291,49140,48778,51553,51984,45905,0,0,0,0,0,0,0,32978.4678112,10020,10427,12671,11399,10392,10116,11109,10176,9055,8185,13275,15949,17902,19125,21491,17488,19677,19701,23804,28369,20654,18595,20924,25680,26066,25766,24639,25096,24356,21240,26096,29201,20092,23641,25163,23948,32531,28728,39983,30988,31290,22975,28125,30621,23161,31115,29646,27811,33302,31082,31398,31239,26159,19330,25433,22530,18121,29826,26873,26509,30747,30552,27501,27979,25845,22134,26367,24041,21264,25494,28586,30905,31922,30405,35910,29380,25092,21823,25088,27113,19422,21972,26748,25853,31645,29956,34241,29539,29487,21841,28219,27833,20155,21965,24904,22014,29263,26201,27798,24445,28477,24226,27554,30430,21980,29258,29614,24549,32315,30220,33320,36956,38566,34436,42620,44054,35947,44412,46190,40602,50594,46896,38811,40564,56953,52522,67257,49444,20654,28407,32871,34028,38123,38937,46682,41714,35044,33059,37482,37712,21301,26501,28382,28336,33479,31756,38245,41544,32138,31139,34953,37597,25408,32342,33802,31398,34913,32890,39093,34034,32342,29277,38533,42638,26262,35345,37472,31166,41730,39466,43856,44167,41128,35743,46112,45756,30771,43291,42421,34748,48847,43558,53703,52397,40285,38770,50238,43208,28952,38844,39449,34820,41720,37934,46719,47635,38994,34634,44780,41908,28754,36288,40224,40885,44327,41150,50559,50341,36696,38352,46719,47410,33374,40179,43938,44492,51419,52286,62979,55073,46990,44234,51307,52696,32248,39274,43225,41689,51276,46925,54871,52680,46860,0,0,0,0,0,0,0
Argentina,34150.0643777,6194,9285,8013,9550,5613,7815,12853,13190,11559,13394,13264,14123,14397,14089,13661,9697,9793,12110,18621,14743,15247,18305,18646,14291,21012,27247,21487,11984,15286,15968,21267,19989,18447,25050,22264,19436,22739,26705,22461,19088,23005,25161,27905,24584,22960,29771,25298,27488,30400,29790,28221,26585,25975,25072,36229,29442,30158,41248,31964,32989,37220,39932,38890,28834,28097,27298,34175,36026,32225,38881,34794,35202,35439,39887,38650,32612,31236,31867,34805,39014,35997,39623,37844,35536,42404,45455,45210,33457,34659,32733,38751,40830,38137,40497,39075,40274,44973,48976,45515,36712,40040,37856,42991,44863,37957,45558,43050,44747,45048,46127,45411,37991,40254,35607,45715,43316,39637,46801,42990,43655,42071,51000,50242,42544,45897,42010,47676,43782,43509,47711,44166,47483,44624,46147,50230,40975,41100,34234,33774,37178,23360,20591,24105,32960,26377,28405,27190,21793,23852,23832,26369,27684,24345,29357,33957,38731,31401,33724,32763,24681,26276,28181,32610,32554,27271,30934,34938,39899,30722,34624,35966,29749,26344,25093,30494,26813,24351,30149,34135,44915,35503,39055,41343,32011,34997,32905,39057,33364,33580,37180,36462,44933,38851,44927,47167,38822,38167,36217,41124,40049,38210,46521,49247,52016,44608,51588,52353,43908,42797,42875,45517,46162,43864,48142,48112,54368,51353,60104,60263,44678,47087,45170,46070,50057,45431,48516,48166,47146,47445,54415,53522,46105,43103,0,0,0,0,0,0,0,34024.1845494,10691,7373,8139,12114,7768,8006,12843,11055,12691,12332,10741,13651,16333,10921,12597,11873,11508,13303,15233,16920,15717,15621,16691,16903,26891,19098,17735,15453,16465,17852,22623,17611,20521,20751,18933,20320,28229,18582,20079,20447,24857,23198,26830,23068,25318,25730,22880,28708,37886,21801,26946,26104,26810,26043,30816,27632,34479,33221,30913,35797,44468,33928,34530,31835,27305,28997,39609,30189,34604,35170,31924,36358,41724,34785,36596,32795,31317,32007,38130,32462,36978,34935,32694,39762,46742,40241,38713,34406,34522,33141,42788,34829,39676,36300,34678,40743,54619,43911,39390,41131,39856,33839,49208,38556,39049,41803,38519,42302,54425,43698,43342,36283,40496,35348,49594,41350,43162,43729,38445,37992,56081,47977,48318,48275,43855,44868,50285,45287,47958,47357,42213,45409,55756,47775,47289,46304,41481,34626,37430,36484,21407,18857,23756,30592,36617,27815,30240,24654,25840,24457,27897,28815,26343,28817,29912,32705,40427,29043,33552,27332,25423,26260,33203,33658,27564,28185,29813,30048,41532,32500,36216,32445,26046,23062,29779,29083,24846,26937,29803,33412,47577,35335,41730,36587,34648,31243,38429,35281,33848,32966,33132,35661,51909,40169,48869,43063,39710,33439,42745,41052,38290,41580,44499,46260,57519,47571,51666,49185,43634,39215,49053,45788,43758,44547,44557,50971,63282,52274,59549,50855,47481,40874,52238,48238,45193,44549,43314,44816,59203,48569,53302,49053,43859,0,0,0,0,0,0,0
Bolivia,5884.06944444,1595,0,0,0,0,0,455,0,0,0,0,584,379,0,0,0,0,243,0,1650,0,0,0,4515,4582,4388,3388,3411,3341,3959,6293,4395,2785,3832,3510,4265,4825,3936,3175,2820,3372,3825,6151,4458,3396,3965,2819,4107,4564,4286,3257,2751,3692,4274,7928,4973,3478,4160,4384,4806,5609,4146,3877,3254,4183,5776,8993,6194,5498,5012,6396,6873,6336,6677,4623,3841,4935,5719,8521,6465,4422,5217,5190,7508,8009,7089,6702,5150,6841,7801,10384,7525,5116,5475,6923,7799,8689,7899,7165,5553,7048,7494,10300,7548,5182,6092,5588,8266,9276,6878,5218,4192,7328,7467,12071,7758,4904,4631,4934,5545,7966,6497,6931,5448,6599,8586,13284,9443,4057,4005,5806,8030,7468,7264,6773,5110,6375,7402,8585,7171,4515,3656,3377,5332,5946,5673,5566,4452,5212,6143,7810,4847,4869,4715,4671,6623,4586,3921,3808,3131,4555,7008,9293,6847,4831,5492,4873,7593,5824,5577,4589,4110,5040,6661,7987,6480,4495,6409,4274,8298,6045,4997,4843,4154,5159,4967,7581,5641,4084,4701,4704,7185,5926,5498,5223,4317,5360,5090,5542,7251,6457,5748,5684,11167,8150,5514,6627,5891,7658,9380,11943,9179,7743,7259,7524,9820,9279,7963,7074,6351,7737,9323,11721,9145,4454,6460,6823,9202,7921,7759,6473,6202,7094,0,0,0,0,0,0,0,6012.99534884,0,0,0,0,0,0,2,0,0,0,0,450,431,0,0,0,0,332,0,1042,0,0,0,3091,5563,2996,3173,3296,3563,4535,6116,4381,3608,3679,3180,4470,5364,3264,3224,3398,3521,4757,3890,5048,3915,3563,2703,4377,4854,3480,3717,3359,3766,6155,3976,5900,3984,3606,4409,4709,6375,3675,3741,3819,4508,5985,6560,7829,6153,4875,5070,5992,7189,4989,5098,4824,5271,6371,6862,6827,4983,5162,5337,7244,8997,6214,6713,6446,6389,7899,8647,8103,5419,5887,6879,8460,9419,6853,7000,6731,6972,7710,8595,8882,6272,6389,6318,8307,9949,5943,5884,4739,7237,8098,9940,9859,6485,5135,5351,6269,8949,6796,7543,7001,8122,11153,11166,12339,4989,4095,6866,7628,8083,6102,7677,6538,7075,7844,7348,8430,5133,3483,3517,4407,6705,4833,6431,5148,5701,6055,6429,6347,5803,4692,4859,5047,5559,3050,3782,3698,4366,6180,7489,8468,5820,4886,4885,6160,7291,4281,5595,5021,5358,6646,6397,7252,5705,5865,4517,6252,6862,4698,5233,5033,4910,5280,6426,6653,4617,4556,4632,5492,7142,3926,5882,4812,5285,5050,5389,7701,7720,5846,5963,7930,11444,4665,8097,6935,7402,9285,9801,11645,8616,7382,7567,8713,9963,7334,7022,7581,7457,9039,10176,11198,4885,6538,6768,7619,9043,5582,7395,6906,6865,0,0,0,0,0,0,0
Ghana,1817.57594937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,304,80,324,513,1025,0,0,356,503,1024,486,296,309,0,0,1604,2093,1651,744,831,873,1342,897,1634,1031,796,956,1042,2387,1893,1097,1154,1149,2287,1386,1168,1239,1409,1547,2064,3091,2339,1808,1585,1424,2831,1726,1411,1957,1578,2641,2268,4253,3060,2169,1697,1441,2446,1469,1157,1306,1734,1273,2012,4041,2704,2248,1785,1674,2230,1417,970,1204,1204,1163,2197,2925,2936,1967,847,709,2392,949,571,713,468,477,947,1768,1265,1027,923,952,1482,1093,681,952,984,1011,727,827,671,963,625,1081,1999,1308,569,584,663,795,1123,1602,394,0,0,0,0,0,0,0,0,0,0,4127,3718,2049,2175,1500,3856,2433,1021,2000,2626,496,627,1558,1176,992,562,488,2770,2296,2522,3244,3006,3558,3180,4181,3479,3244,2945,2670,5922,3752,2706,3884,3068,3063,3820,5454,5066,3813,3116,3111,4147,3115,2284,2875,2716,3472,0,0,0,0,0,0,0,2224.90131579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,634,844,798,465,359,0,0,2144,2842,2744,1227,1429,1127,1143,1506,1864,1433,1103,1527,1202,2493,3278,1995,1706,1392,1426,2518,1475,1472,1795,2128,2200,2886,3721,2799,1974,1571,2195,2736,2194,2468,2331,3189,2456,3603,4873,2931,2319,1811,2361,2364,1615,2003,1897,1768,1983,3691,5860,3602,2471,2178,2671,3553,1891,1873,1398,890,1549,2866,3713,2816,1299,949,1605,1908,855,1045,718,827,913,1914,2719,1705,1351,1176,1263,1607,1057,1101,1165,1203,1036,879,1319,1390,890,1022,1771,1672,951,745,820,1050,1376,1451,827,0,0,0,0,0,0,0,0,0,0,3381,4420,2544,1829,1505,2088,4106,1127,1971,2585,721,704,1135,2133,992,848,658,1478,3607,2509,3342,3628,3452,3840,4411,4664,3454,3422,2752,3865,5806,3331,4140,3497,3190,5056,6042,6659,4013,3269,2940,3167,4177,2370,2770,3127,3801,0,0,0,0,0,0,0
Saudi Arabia,3118.30042918,2334,2034,2327,1987,2849,4751,3414,4820,4754,1923,1963,3546,2183,1884,3646,2832,3098,4439,2952,3850,6557,3044,2224,4246,2891,2260,2229,2376,3726,3430,3374,4935,6096,2632,2159,3834,2508,2351,2056,1909,3408,2900,3585,5921,8043,2447,2139,4146,2565,2221,2003,1557,3376,2806,3883,6673,7545,2403,2311,4251,3028,2261,1876,2484,2961,3373,4177,8002,8879,2809,3230,3889,2716,2688,1816,2785,3182,3483,4329,5940,5689,2522,2423,4276,3322,1936,1659,3448,2661,4083,5211,7251,3882,2954,2863,4320,2767,1777,3002,2472,2784,4058,5718,8427,4848,2631,2939,5170,2567,1524,3585,2053,2851,4764,7549,9637,4620,2473,2979,5555,2200,1780,3523,1976,3067,5254,7829,9732,4650,3260,3971,4790,2124,3174,2444,1882,3369,5066,7080,9766,2124,1752,2292,2712,1367,1836,1077,1127,2557,3846,3947,3532,1936,2034,1914,1914,1717,1178,721,673,1393,2952,3577,2429,2241,1748,1260,1820,2189,761,734,1206,2082,3425,3303,3334,2262,1936,802,1458,2125,682,859,1280,1770,2288,2384,2388,2136,1550,705,1895,1176,885,1252,1656,3255,3882,3363,3926,2848,1544,1045,2896,897,1029,1555,1869,3540,3848,3232,4279,3203,1260,1645,3839,1523,1449,2073,2699,4696,4635,3853,4834,3387,2422,3325,3522,1618,1472,2444,2503,4254,0,0,0,0,0,0,0,2673.47413793,3187,1298,2051,1924,2830,3412,6267,5366,2566,2277,1851,1643,1961,1913,2029,2023,2467,3724,4366,4275,3007,1801,1990,2562,3599,1699,1387,2275,2613,3594,4804,3099,3357,1939,1581,1730,1728,1574,1212,2007,2605,2959,4264,5424,2982,1872,1316,2034,1004,1423,2522,1713,1811,852,5110,4373,3170,2014,1601,1775,601,901,1362,1736,1743,2184,2743,4694,3812,1875,2377,2375,2043,1692,1926,2333,2297,795,975,2574,2538,2046,1625,2237,1431,789,987,1582,1624,2517,0,2436,2757,2704,1949,1307,1061,1635,1498,2657,2694,4856,5344,6472,3532,2773,2241,2546,4792,1974,2920,3540,3305,7889,8887,7765,3841,2598,2499,3008,4463,1783,3455,2388,3534,8480,8740,8076,4269,2663,2559,2624,4856,1971,3947,2530,3299,7515,8561,7860,1884,656,688,1503,2564,1417,1607,1150,1778,2329,3276,3856,2087,1562,1273,1273,1937,1701,993,716,939,1901,2698,3608,2071,1096,1270,1427,1682,1999,1064,1060,1381,2595,2797,3384,2088,1165,1139,1154,2360,1134,1317,1318,1258,1799,2314,2736,1567,1556,1502,1496,2055,1326,1852,2187,3065,3418,3957,3966,2542,1591,1763,1595,2817,1402,1672,2038,2196,3258,4444,5497,2041,2394,1648,3051,3276,1687,2292,3159,3125,4117,5376,5511,2802,3828,1998,4391,3814,2443,3221,3377,3650,0,0,0,0,0,0,0
Japan,418562.287554,369753,311679,386102,295786,358485,397719,374896,463645,373939,327384,309429,347533,360547,200410,249460,249839,335301,386101,375196,476240,405654,341888,329800,341205,395642,346954,366233,297915,362468,400390,355862,464329,392860,321916,327810,346510,374665,303548,346238,280717,378218,379725,368036,477924,397164,349335,337714,349193,369918,318714,388549,293520,392827,385666,386890,496908,450035,375613,355464,371273,398402,321307,405760,322835,430864,435214,451693,556030,507811,440417,411629,426640,443282,408035,480014,377072,454332,488450,477260,575720,529189,448327,441364,443337,474594,425606,507970,409808,472143,494115,484387,581650,562771,480263,465502,460467,478825,424756,485842,407596,475768,487405,482722,550769,480341,453873,447618,456336,466584,418805,501648,394008,509014,513091,520035,587998,543119,501931,470567,440652,463951,450237,522527,434463,532281,558054,530565,586903,550207,523922,482460,485434,506468,439811,517345,415358,512129,543419,503804,571711,357138,271971,254702,357870,374916,347052,428591,356474,458111,466551,437032,489657,454793,454370,409437,457041,447472,368746,386332,226622,320304,368938,389400,429420,438527,439054,411592,447726,433053,377842,434221,357255,470248,488471,455538,467825,445105,462588,415463,441773,448320,390043,459942,371714,501799,506696,466360,483141,453996,460238,411824,450833,431700,366041,461376,363205,465610,474745,440743,460863,423616,427807,392081,407427,395031,352304,433529,340826,423937,434523,414752,440365,407139,404458,375639,398810,382955,341732,404718,325564,401306,417522,386841,406624,363944,377188,332350,363526,340612,292455,349008,290314,308354,0,0,0,0,0,0,0,427283.223176,365429,346243,365449,349852,335368,402681,433798,461510,359024,332001,322889,377469,335040,202202,246500,294047,321806,397589,436413,472227,396319,347373,326506,394433,383424,373532,358513,320183,356607,403074,418528,461127,388744,337506,324249,377216,368017,326100,353450,318849,351946,391579,429861,471578,394963,348483,337056,382041,353056,341717,393416,326021,359913,409947,447457,489616,437522,374485,354645,406585,391685,329446,412221,361467,410351,448765,517559,549516,490132,446037,411967,463835,428412,423284,471194,406813,445174,499377,547749,562818,512174,452603,429462,491019,441395,432687,500765,423455,464092,501108,541702,579060,548844,472378,468371,488543,456795,439089,478247,424367,466906,493384,533305,561119,468958,451029,447313,476181,454851,441001,489329,454037,478458,519770,565024,603786,552644,493529,470582,448609,454304,464770,521317,483399,501645,556307,589370,609218,553236,511776,485838,497958,499587,460811,509073,470216,468180,537961,567260,593343,324913,259125,266851,357159,398055,353784,426390,399026,431757,465496,482822,520521,456006,442027,404146,467061,451748,380536,374426,264419,310145,372481,415927,459031,436675,430230,409857,439885,441691,396831,429050,405569,429638,473609,494464,513340,457316,454039,414437,433766,469810,394983,463594,435566,449779,495797,519949,533148,469867,451646,422132,437500,452074,379564,456294,416286,426197,463235,488445,510394,430069,422416,399365,401054,417256,360882,428256,395073,389726,421234,456106,483204,419200,396790,386219,388518,403708,350620,395409,361357,382633,399768,430024,451868,375474,367186,334345,347691,369700,304988,349340,321745,272742,0,0,0,0,0,0,0
Berlin,5397.7027027,0,0,0,0,0,909,2653,2861,2620,1991,2766,2061,2215,758,1530,2969,2760,3078,3651,3978,3157,2462,2272,1578,2797,1969,3056,3164,3088,4889,5753,6040,6052,7032,4525,5226,6836,5088,7026,9058,8893,9077,9579,9188,8357,6320,4178,3370,3524,2507,3763,3913,4394,4240,3663,4610,4574,4542,0,0,0,0,0,0,4433,4547,4807,5810,5684,5392,4960,4264,4076,3203,4284,4865,5244,5716,6129,6106,4912,5481,5430,4359,4230,3360,4527,4638,5408,5555,5370,5154,5432,5876,5028,3936,3807,3536,185,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,4316,5145,5020,2886,3723,1602,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,5614,5599,8562,8575,8697,9028,6134,6395,5032,4576,8258,7541,10138,9994,8398,9123,9030,8964,6500,6929,5361,4780,7753,8021,10013,9761,8112,9071,9175,7803,6289,6664,5859,5099,7803,8900,10927,9826,8520,10195,10428,8874,6844,6751,5435,4961,8297,8760,9258,0,0,0,0,0,0,0,5233.30666667,0,0,0,0,0,731,3392,3053,2490,2117,2008,2334,1566,592,2036,2053,2714,3098,4543,4094,2966,2584,1918,2351,1963,2385,3956,3303,2798,4878,6664,6934,5672,6168,4087,5106,4035,3176,6713,6322,6505,8079,9004,8656,6913,4279,3296,3620,3971,2700,4510,3652,3910,4110,4690,4800,4511,4562,146,0,0,0,155,0,3697,4256,5984,5614,5416,5149,4222,4890,2898,3372,5361,3634,4409,5011,5385,4506,5184,5441,5007,4415,3697,3444,5142,4639,4659,5099,5503,5377,5913,5881,4932,4229,4056,3719,341,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,4680,4208,4894,5369,3955,1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,154,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5236,5499,10515,9096,9311,8794,5834,5711,5799,4834,8265,7407,8969,8353,11008,9814,9872,9055,6137,6518,4854,5557,7435,7652,9114,8720,10085,8792,9015,8059,6291,6322,5963,5724,7835,8761,10660,8979,10544,10328,10068,8669,6560,6554,5700,5694,8382,8202,9163,0,0,0,0,0,0,0
